FieldID,CodingName,FigureName,Type,Label,Include
23568,cholesterol_in_medium_hdl,cholesterol_in_medium_hdl,Metabolic,Cholesterol in M-HDL,0
23569,cholesteryl_esters_in_medium_hdl,cholesteryl_esters_in_medium_hdl,Metabolic,Cholesteryl esters in M-HDL,0
23570,free_cholesterol_in_medium_hdl,free_cholesterol_in_medium_hdl,Metabolic,Free cholesterol in M-HDL,0
23571,triglycerides_in_medium_hdl,triglycerides_in_medium_hdl,Metabolic,Triglycerides in M-HDL,0
23572,concentration_of_small_hdl_particles,concentration_of_small_hdl_particles,Metabolic,Concentration of S-HDL particles,0
23573,total_lipids_in_small_hdl,total_lipids_in_small_hdl,Metabolic,Total lipids in S-HDL,0
23574,phospholipids_in_small_hdl,phospholipids_in_small_hdl,Metabolic,Phospholipids in S-HDL,0
23575,cholesterol_in_small_hdl,cholesterol_in_small_hdl,Metabolic,Cholesterol in S-HDL,0
23576,cholesteryl_esters_in_small_hdl,cholesteryl_esters_in_small_hdl,Metabolic,Cholesteryl esters in S-HDL,0
23577,free_cholesterol_in_small_hdl,free_cholesterol_in_small_hdl,Metabolic,Free cholesterol in S-HDL,0
23578,triglycerides_in_small_hdl,triglycerides_in_small_hdl,Metabolic,Triglycerides in S-HDL,0
23579,phospholipids_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,phospholipids_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,Metabolic,Phospholipids : lipids in CMs and EL-VLDL%,0
23580,cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,Metabolic,Cholesterol : lipids in CMs and EL-VLDL%,0
23581,cholesteryl_esters_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,cholesteryl_esters_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,Metabolic,Cholesteryl esters : lipids in CMs and EL-VLDL%,0
23582,free_cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,free_cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,Metabolic,Free cholesterol : lipids in CMs and EL-VLDL%,0
23583,triglycerides_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,triglycerides_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage,Metabolic,Triglycerides : lipids in CMs and EL-VLDL%,0
23584,phospholipids_to_total_lipids_in_very_large_vldl_percentage,phospholipids_to_total_lipids_in_very_large_vldl_percentage,Metabolic,Phospholipids : lipids in VL-VLDL%,0
23585,cholesterol_to_total_lipids_in_very_large_vldl_percentage,cholesterol_to_total_lipids_in_very_large_vldl_percentage,Metabolic,Cholesterol : lipids in VL-VLDL%,0
23586,cholesteryl_esters_to_total_lipids_in_very_large_vldl_percentage,cholesteryl_esters_to_total_lipids_in_very_large_vldl_percentage,Metabolic,Cholesteryl esters : lipids in VL-VLDL%,0
23587,free_cholesterol_to_total_lipids_in_very_large_vldl_percentage,free_cholesterol_to_total_lipids_in_very_large_vldl_percentage,Metabolic,Free cholesterol : lipids in VL-VLDL%,0
23588,triglycerides_to_total_lipids_in_very_large_vldl_percentage,triglycerides_to_total_lipids_in_very_large_vldl_percentage,Metabolic,Triglycerides : lipids in VL-VLDL%,0
23589,phospholipids_to_total_lipids_in_large_vldl_percentage,phospholipids_to_total_lipids_in_large_vldl_percentage,Metabolic,Phospholipids : lipids in L-VLDL%,0
23590,cholesterol_to_total_lipids_in_large_vldl_percentage,cholesterol_to_total_lipids_in_large_vldl_percentage,Metabolic,Cholesterol : lipids in L-VLDL%,0
23591,cholesteryl_esters_to_total_lipids_in_large_vldl_percentage,cholesteryl_esters_to_total_lipids_in_large_vldl_percentage,Metabolic,Cholesteryl esters : lipids in L-VLDL%,0
23592,free_cholesterol_to_total_lipids_in_large_vldl_percentage,free_cholesterol_to_total_lipids_in_large_vldl_percentage,Metabolic,Free cholesterol : lipids in L-VLDL%,0
23593,triglycerides_to_total_lipids_in_large_vldl_percentage,triglycerides_to_total_lipids_in_large_vldl_percentage,Metabolic,Triglycerides : lipids in L-VLDL%,0
23594,phospholipids_to_total_lipids_in_medium_vldl_percentage,phospholipids_to_total_lipids_in_medium_vldl_percentage,Metabolic,Phospholipids : lipids in M-VLDL%,0
